id,name,category,description,price,color
1,apple,Fruit,"Crisp, juicy, and naturally sweet – our apples are picked at the peak of perfection. Whether you're slicing them into a salad, baking them into a pie, or enjoying them on the go, they deliver crunch, flavor, and classic refreshment in every bite.",4.5,Red
2,avocado,Fruit,"Smooth, creamy, and rich in nutrients – our avocados are the star of any toast, salad, or guacamole. With their buttery texture and subtle flavor, they’re a wholesome and delicious way to elevate your meals.",5.5,Green
3,banana,Fruit,"Bright yellow, naturally sweet, and always satisfying – our bananas are perfect for breakfast, smoothies, or as a healthy snack. Packed with energy and potassium, they’re the go-to fruit for fuel and flavor.",7.5,Yellow
4,bluberry,Fruit,"Tiny, vibrant, and bursting with antioxidants – our blueberries are the ultimate snack or topping. Add them to yogurt, oatmeal, or just enjoy by the handful for a fresh, fruity burst of goodness.",7.0,Blue
5,cherry,Fruit,"Plump, juicy, and beautifully red – our cherries are a sweet summer delight. Enjoy them fresh, baked into desserts, or as a vibrant topping for breakfasts and treats – a taste that never gets old.",4.5,Red
6,grape,Fruit,"Sweet, crisp, and refreshingly juicy – our grapes are snack-ready and always delicious. Perfect for fruit platters, lunchboxes, or a frozen treat, they’re a simple pleasure you’ll reach for again and again.",4.5,Purple
7,grapefruit,Fruit,"Tart, tangy, and packed with citrus punch – our grapefruits are a bold choice for fresh juice, breakfast halves, or zesty salads. Refreshing and invigorating, they’re citrus with attitude.",4.5,Red
8,kiwi,Fruit,"Fuzzy on the outside, vibrant and tangy inside – our kiwis are tropical gems. Slice them in half or scoop them out for a zesty snack full of vitamin C and natural goodness that brightens your day.",4.5,Orange
9,lemon,Fruit,"Tart, refreshing, and packed with personality – our limes are perfect for cocktails, marinades, or a citrusy twist on anything. Their bold flavor brings sparkle and freshness to every bite and sip.",6.0,Yellow
10,lime,Fruit,"Juicy, sweet, and oh-so-refreshing – our melons are the ultimate summer indulgence. Slice them cold for a hydrating snack that feels like a treat and tastes like sunshine in every bite.",8.0,Green
11,melon,Fruit,"Smooth-skinned and bursting with juicy sweetness – our nectarines are nature’s candy. Delicious on their own, grilled, or in desserts, they bring a golden glow and fresh flavor to every season.",9.0,Orange
12,nectarine,Fruit,"Bright, tangy, and packed with vitamin C – our oranges are the citrus classic you know and love. Peel, juice, or segment them for a fresh burst of sunshine whenever you need it.",4.5,Orange
13,orange,Fruit,"Bright, tangy, and packed with vitamin C – our oranges are the citrus classic you know and love. Peel, juice, or segment them for a fresh burst of sunshine whenever you need it.",4.5,Orange
14,peach,Fruit,"Soft, golden, and dripping with summer sweetness – our peaches are the definition of juicy indulgence. Perfect for eating fresh, baking into cobblers, or pairing with cream for a classic delight.",4.5,Orange
15,pear,Fruit,"Mildly sweet, soft, and elegantly refreshing – our pears are perfect for snacking, slicing into salads, or baking into warm desserts. A gentle fruit with timeless charm.",7.5,Green
16,plum,Fruit,"Deep purple, sweet-tart, and full of rich juice – our plums are perfect for fresh eating or baking. With a soft bite and bold flavor, they’re a little luxury in every mouthful.",4.5,Purple
17,strawberry,Fruit,"Bright red, naturally sweet, and bursting with aroma – our strawberries are a crowd favorite. Whether dipped in chocolate, blended in smoothies, or eaten fresh, they bring joy to every bite.",6.0,Red
18,watermelon,Fruit,"Crisp, cool, and ultra-hydrating – our watermelons are summer in a slice. With their sweet pink flesh and refreshing crunch, they’re perfect for picnics, parties, or solo snacking on sunny days.",4.5,Green
19,asparagus,Vegetable,"Elegant, crisp, and full of earthy flavor – our asparagus spears are perfect for roasting, grilling, or tossing into salads. A gourmet vegetable that’s as nutritious as it is delicious, adding a touch of green sophistication to any meal.",15.0,Green
20,beet,Vegetable,"Deep in color and naturally sweet – our beets are earthy gems, perfect for roasting, juicing, or grating into vibrant salads. Packed with antioxidants and flavor, they bring richness and nutrition to your plate.",7.5,Purple
21,brocolli,Vegetable,"Crisp florets full of vitamins and crunch – our broccoli is a staple for stir-fries, steams, and sides. Whether lightly sautéed or dipped raw, it’s a flavorful, fiber-rich favorite for the whole family.",10.0,Green
22,cabbage,Vegetable,"Layered, crunchy, and full of versatility – our cabbage is great for slaws, stir-fries, or hearty stews. With its mild flavor and satisfying texture, it’s a reliable and wholesome addition to any dish.",5.0,Green
23,cauliflower,Vegetable,"Creamy-white and tender, our cauliflower is a low-carb favorite with endless possibilities. Roast it, rice it, mash it – it adapts to your cooking creativity while offering subtle, satisfying flavor.",10.0,White
24,carrot,Vegetable,"Vibrantly orange and naturally sweet – our carrots are crisp when raw and comforting when cooked. Perfect for juicing, roasting, or snacking, they’re a nutritious classic with unbeatable crunch.",3.0,Orange
25,celery,Vegetable,"Light, hydrating, and naturally crisp – our celery is a refreshing snack and a cooking essential. Dip it in hummus, add it to soups, or enjoy its subtle saltiness straight from the stalk.",8.5,Green
26,corn,Vegetable,"Golden, sweet, and bursting with freshness – our corn is a sunny addition to any meal. Grill it on the cob, toss it in salads, or savor it straight from the pan – summer flavor all year long.",5.0,Yellow
27,cucumber,Vegetable,"Cool, crisp, and refreshing – our cucumbers bring hydration and crunch to salads, snacks, and sides. Slice them thin or enjoy them whole – they’re a crisp green classic that never fails.",2.0,Green
28,eggplant,Vegetable,"Glossy and rich in texture – our eggplants are perfect for grilling, roasting, or layering into casseroles. Their meaty bite and deep flavor make them a favorite for both vegetarians and meat-lovers alike.",6.0,Purple
29,garlic,Vegetable,"Bold, aromatic, and full of flavor – our garlic cloves are a kitchen essential. Whether minced into sauces, roasted whole, or sautéed into stir-fries, they bring depth and richness to every savory creation.",8.0,White
30,green onion,Vegetable,"Fresh, crisp, and mild – our green onions add a burst of color and flavor to salads, stir-fries, and toppings. A perfect garnish or ingredient that brings freshness to every bite.",3.0,Green
31,lettuce,Vegetable,"Crisp, cool, and refreshingly light – our lettuce is the base of any great salad or sandwich. With its satisfying crunch and garden-fresh quality, it brings life and texture to every plate.",5.5,Green
32,onion,Vegetable,"Savory and sweet when cooked, sharp and crisp when raw – our onions are a flavor foundation in countless dishes. Dice, slice, or caramelize for irresistible depth in every meal.",2.5,Yellow
33,pepper,Vegetable,"Bright, sweet, and crunchy – our peppers bring color and freshness to your kitchen. Whether roasted, stuffed, or raw in a salad, they add a juicy pop of flavor to any dish.",4.0,Red
34,potato,Vegetable,"Hearty, comforting, and incredibly versatile – our potatoes are perfect for roasting, mashing, or frying. A pantry staple that’s satisfying, filling, and loved in every form.",3.0,Brown
35,spanich,Vegetable,"Leafy, tender, and nutrient-rich – our spinach is a powerhouse of vitamins. Perfect for salads, omelets, or sautéing into warm dishes, it adds both health and flavor to your meals.",15.0,Green
